id;numero;date_piece;client;bl_visa;commentaire;facture_recu_mail;facture_recu_physique;bl_recu_mail;bl_recuphysique
1;54917;2021-02-13;robust proactive;false;24/7 Avon Consultant;2021-02-14;2021-02-13;2021-02-13;2021-02-13
2;29076;2021-02-13;RAM e-tailers;true;SDR transparent deposit;2021-02-13;2021-02-13;2021-02-13;2021-02-13
3;60337;2021-02-14;quantifying deposit Strategist;false;Awesome bandwidth collaboration;2021-02-14;2021-02-13;2021-02-13;2021-02-13
4;13087;2021-02-13;Generic;true;Garden Drive Investment Account;2021-02-13;2021-02-14;2021-02-13;2021-02-13
5;2528;2021-02-14;Berkshire Checking Account;false;invoice;2021-02-14;2021-02-13;2021-02-13;2021-02-14
6;96913;2021-02-14;index;true;black;2021-02-14;2021-02-13;2021-02-13;2021-02-13
7;72983;2021-02-13;Group;true;Overpass Arkansas;2021-02-13;2021-02-13;2021-02-13;2021-02-13
8;39732;2021-02-13;payment Soft Swedish Krona;true;withdrawal generate B2C;2021-02-14;2021-02-13;2021-02-13;2021-02-13
9;88647;2021-02-14;Horizontal Steel;true;Distributed;2021-02-14;2021-02-14;2021-02-14;2021-02-13
10;82784;2021-02-14;PNG;true;Latvian Lats Internal Handmade Fresh Chair;2021-02-13;2021-02-13;2021-02-13;2021-02-13
